No.,entity,BAU Name lang,BAU Adresse 2 lang,Country/Region Code,City,Post Code
1506776,Atlas,Iserlohn Projekt GmbH & Co. KG,Planungsgruppe Scheller,D,Niederkrüchten,41372
1512467,Atlas,Hückelhoven Invest GbR,Schürer Industrietorbau,D,Wildenfels,8134
1513108,Atlas,Hückelhoven Gruppe KG,Schürzeberg Gerüstbau,D,Viersen,41751
1513124,Atlas,Olpe Consulting OHG,Schmitt+Sohn,D,Essen,45141
1513127,Atlas,Falkenau Gruppe Holding GmbH,Kühllagertechnik Schirmacher,D,Essen,45289
1515598,Atlas,Jülich Recycling GmbH & Co. KG,Planungsbüro Detlef Stickel,D,Heinsberg,52525
1515622,Atlas,Altenberg Haus Technik GmbH,Stadt Eschweiler,D,Eschweiler,52249
1519968,Atlas,Erkelenz Invest Technik GmbH,Streetlight24,D,Heinsberg,52525
1523311,Atlas,Altenberg Construction KG,EWV Energie- und,D,Stolberg,52222
1555041,Atlas,Sander Solutions GmbH,Stadt Viersen,D,Viersen,41747
1555042,Atlas,Cramer Gruppe Holding GmbH,Viehausen & Gartz GmbH,D,Erkelenz,41812
1555047,Atlas,Pfeifer Engineering OHG,Vergoossen GmbH,D,Rees,46459
1557366,Atlas,Pfahl Engineering OHG,Vinoteca GmbH,DE,Heinsberg,52525
1576122,Atlas,Altenberg Plan GmbH,West Geothermie GmbH,DE,Heinsberg,52525
1580870,Atlas,Wald Consulting Bau GmbH,Bernd Wiesjahn GmbH,D,Leverkusen,51373
1592907,Atlas,Olpe Zentrum OHG,,,,
1592908,Atlas,Falkenau Logistik OHG,,,,
1594836,Atlas,Xaver Smart GbR,,,,
1594869,Atlas,Moers Werk AG,,,,
1612242,Atlas,Flur Bau GmbH & Co. KG,Michael Schotten,D,Erkelenz,41812
1615715,Atlas,Eder Gruppe GbR,BKR Ingenieurbüro GmbH,D,Herne,44652
1615721,Atlas,Erkelenz Construction GmbH,AZMET Pflaster- und,D,Albig,55234
1618269,Atlas,Quast Partner Service GmbH,M. Akyüz Bautenschutz,D,Mönchengladbach,41236
1618759,Atlas,Keller System OHG,ateb.BLUE,D,Mönchengladbach,41236
1618912,Atlas,Velde Engineering Service GmbH,Math. u. Herm. Arntz GmbH,D,Heinsberg,52525
1619766,Atlas,Ebert System OHG,Stadt Aachen,,Aachen,52058
1647239,Atlas,Linde Smart Bau GmbH,Albrecht Autovermietung,D,Kerpen,50170
1657677,Atlas,Xanten Partner GbR,alinotec GmbH & Co. KG,D,Büttelborn,64572
1657682,Atlas,Kreis Consulting KG,Aral GmbH,D,Arnsberg,59821
170010,Atlas,Paderborn Zentrum Holding GmbH,Industriestraße 50,D,Heinsberg,52525
176705,Atlas,Regen Gruppe GmbH,Hoeverveldweg 7,NL,CZ Schinnen,6365
20,Atlas,Mauer Logistik Bau GmbH,Anton-Laumen-Straße 62,DE,Waldfeucht,52525
240160,Atlas,Ulmen Solutions SE,Gewerbering Nord 11,D,Großröhrsdorf,01900
240211,Atlas,Xanten Invest SE,Industriestr. 50,D,Heinsberg,52525
240212,Atlas,Wesel Resources Service GmbH,Gewerbering Nord 11,D,Großröhrsdorf,01900
240213,Atlas,Siegen Construction KG,Industriestraße 50,D,Heinsberg,52525
240214,Atlas,Dreher Engineering SE,Industriestraße 50,D,Heinsberg,52525
240215,Atlas,Bergmann Zentrum OHG,Industriestraße 50,D,Heinsberg,52525
240216,Atlas,Dachstein Wirtschaft Service GmbH,Industriestraße 50,D,Heinsberg,52525
240217,Atlas,Torf Property Technik GmbH,Indeweg 80,D,Aachen,52076
240220,Atlas,Fröndenberg Park KG,Industriestraße 50,D,Heinsberg,52525
240230,Atlas,Ulmen Werk Service GmbH,Industriestraße 50,D,Heinsberg,52525
240240,Atlas,Ulmen Werk Service GmbH,Industriestraße 50,D,Heinsberg,52525
240250,Atlas,Ulmen Werk Service GmbH,Industriestraße 50,D,Heinsberg,52525
241606,Atlas,Grund Recycling AG,Industriestraße 50,D,Heinsberg,52525
241803,Atlas,Boden Verwaltung Verwaltungs GmbH,Industriestraße 50,DE,Heinsberg,52525
241804,Atlas,Hamm Partner Technik GmbH,Industriestraße 50,D,Heinsberg,52525
241809,Atlas,Bergmann Umwelt AG,Transportlaan 25,NL,Geleen,6163 CX
241844,Atlas,Aachen Park AG,Gewerbering Nord 11,D,Großröhrsdorf,01900
241861,Atlas,Dachstein Gruppe Verwaltungs GmbH,Industriestraße 50,D,Heinsberg,52525
241862,Atlas,Siegen Bau AG,Sophiastraße 2,D,Hückelhoven,41836
242101,Atlas,Quast Materials GmbH,Industriestraße 50,D,Heinsberg,52525
242102,Atlas,Sohl Dienst GbR,Gewerbering Nord 11,D,Großröhrsdorf,01900
242104,Atlas,Ulmen Werk Service GmbH,Industriestraße 50,D,Heinsberg,52525
242108,Atlas,Zülpich Recycling GmbH,Industriestraße 50,D,Heinsberg,52525
242109,Atlas,Aachen Gruppe Holding GmbH,Industriestraße 50,D,Heinsberg,52525
243801,Atlas,Düren Engineering Verwaltungs GmbH,Industriestraße 50,DE,Heinsberg,52525
246799,Atlas,Regen Gruppe GmbH,Hoeverveldweg 7,NL,CZ Schinnen,6365
247256,Atlas,Wald Resources Holding GmbH,Industriestraße 50,D,Heinsberg,52525
248503,Atlas,Hückelhoven Zentrum Bau GmbH,Industriestraße 50,D,Heinsberg,52525
248701,Atlas,Jülich Immobilien GmbH,Friedrich-List-Allee 11,D,Wegberg-Wildenrath,41844
28323,Atlas,Wenger Zentrum Technik GmbH,OPK Elektro GmbH,,Köln,50769
28404E,Atlas,Nordmann Umwelt Verwaltungs GmbH,Ralf Peschmann,D,Wassenberg,41849
28432E,Atlas,Reuter Plan OHG,Kanaltechnik Detlef Preuß,,Hückelhoven,41836
28434E,Atlas,Bremer Immobilien OHG,publica.SOLUTIONS KG,,Mudersbach,57555
28504E,Atlas,Lemgo Gruppe Service GmbH,Provinzial Nord,D,Kiel,24114
28532E,Atlas,Wald Real GmbH & Co. KG,RRG INDUSTRIETECHNIK GMBH,D,Mülheim,45470
360001,Atlas,Hückelhoven Zentrum KG,,,,
360002,Atlas,Imfeld Materials GmbH & Co. KG,Gildenstraße 2 g,D,Münster,48157
360003,Atlas,Geilenkirchen Park OHG,Grafenberger Allee 300,,Düsseldorf,40237
360004,Atlas,Sander Haus GmbH & Co. KG,Gendorferstraße 25,DE,Hückelhoven,41836
360005,Atlas,Linde Verwaltung Holding GmbH,Helmholtzstraße 49,DE,Jülich,52428
360006,Atlas,Eder Dienst Service GmbH,Boos-Fremery-Straße 62,D,Heinsberg,52525
360007,Atlas,Zülpich Wirtschaft GmbH & Co. KG,Kopernikusstraße 19,D,Bergheim,50126
360008,Atlas,Keller Partner GmbH & Co. KG,Im Ginster 3,,Aachen,52078
360009,Atlas,Ochsner Bau Service GmbH,Lippestraße 20,D,Selm-Bork,59379
360010,Atlas,Regen Holding Service GmbH,Robert-Bosch-Straße 14,DE,Gerabronn,74582
360011,Atlas,Emden Estate KG,Madrider Ring 19,DE,Aachen,52078
360012,Atlas,Imfeld Management Service GmbH,Rudolf-Diesel-Straße 7,,Singen,78224
360013,Atlas,Zülpich Real AG,Colonia-Allee 10-20,DE,Köln,51067
360014,Atlas,Mauer Immobilien Service GmbH,Welserstraße 3,D,Neuss,41468
360015,Atlas,Wenger Concept Verwaltungs GmbH,Apfelstraße 23,D,Heinsberg,52525
360016,Atlas,Jäger Holding KG,Schafhausener Straße 47,D,Heinsberg,52525
360017,Atlas,Eder System Technik GmbH,An der Akademie 5,D,Ostfildern,73760
360018,Atlas,Ilten Real AG,Spichernstraße 75-77,D,Köln,50672
360019,Atlas,Linde Logistik SE,Kölner Straße 95,D,Erkelenz,41812
360020,Atlas,Regen Consulting OHG,Konrad-Zuse-Platz 1,,München,81829
360021,Atlas,Siegen Service GmbH & Co. KG,Große Straße 40,D,Linnich,52441
360022,Atlas,Olfen Gruppe AG,Colonia-Allee 10-20,DE,Köln,51067
360023,Atlas,Kreis Haus Holding GmbH,Waldenrather Weg 21,DE,Heinsberg,52525
360024,Atlas,Mauer Engineering OHG,Adalbertsteinweg 92,DE,Aachen,52070
360025,Atlas,Dreher Dienst Verwaltungs GmbH,Bayernallee 9,,Aachen,52066
360026,Atlas,Moers Wirtschaft Verwaltungs GmbH,Frankfurter Str. 10,,Homberg,35315
360027,Atlas,Viersen Bau KG,Wernher-von-Braun-Straße 2,D,Wallenhorst,49134
360028,Atlas,Merker Solutions GbR,Kreuzstraße 28,D,Geilenkirchen,52511
360029,Atlas,Boden Smart GmbH & Co. KG,Zollernstraße 10,DE,Aachen,52070
360030,Atlas,Wesel Consulting OHG,Pauwelsstraße 17,D,Aachen,52074
360031,Atlas,Lemgo Umwelt Service GmbH,Miesbacher Str. 5,,Valley,83626
360032,Atlas,Aachen Concept Service GmbH,Drischer Straße 21,D,Würselen,52146
360033,Atlas,Troisdorf Verwaltung Service GmbH,Hessenring 22,D,Büttelborn,64572
360034,Atlas,Unna Umwelt Holding GmbH,Schwinningstraße 35,D,Aachen,52076
360035,Atlas,Lemgo Haus OHG,Fürstenwall 172,D,Düsseldorf,40217
360036,Atlas,Gelsen Partner Service GmbH,Industriestraße 50,DE,Heinsberg,52525
360037,Atlas,Junker Holding Service GmbH,Am Pförtchen 15,D,Heinsberg,52525
360038,Atlas,Heinsberg Facility Holding GmbH,Kennedystraße 2,,Bergheim,50126
360039,Atlas,Hückelhoven Engineering Technik GmbH,Benzstraße 5,D,Dormagen,41540
360040,Atlas,Torf Capital Bau GmbH,Klosterstraße 131,D,Würselen,52146
360041,Atlas,Mauer Property Service GmbH,Hallestraße 6,D,Wegberg,41844
360042,Atlas,Neuer Energy Holding GmbH,Auf der Komm 12,,Aldenhoven,52457
360043,Atlas,Dachstein Real Holding GmbH,Frankenplatz 14,,Eschweiler,52249
360044,Atlas,Dachstein Recycling AG,Albert-Büttner-Str. 11,,Lauf,91207
360045,Atlas,Reuter Umwelt AG,Roermonder Straße 248,D,Übach-Palenberg,52531
360046,Atlas,Quast Estate GmbH,Industriestraße 54,D,Heinsberg,52525
360047,Atlas,Zehm Resources OHG,Neuköllner Str. 1,D,Aachen,52068
360048,Atlas,Gelsen Estate Bau GmbH,Werner-von-Siemens-Str. 10a,D,Baesweiler,52499
360049,Atlas,Olfen Haus Bau GmbH,Lagerhausstr. 20,D,Aachen,52058
360050,Atlas,Thalberg Estate KG,Dr.-Kilian-Straße 11,D,Weiden,92633
360051,Atlas,Iserlohn Tech Holding GmbH,Loh 2,,Breckerfeld,58339
360052,Atlas,Wenger Industrie Technik GmbH,Breslauerstraße 29,,Hückelhoven,41836
360053,Atlas,Sohl Construction KG,Eisenbahnweg 18,D,Aachen,52068
360054,Atlas,Bergmann Resources OHG,Szamotulystraat 5,B,,
360055,Atlas,Dachstein Facility SE,Von-Röntgen-Str. 9-11,,Ahaus,48683
360056,Atlas,Imfeld Wirtschaft Bau GmbH,Golkrather Str. 2a,,Erkelenz,41812
360057,Atlas,Gerber Real Bau GmbH,Gewerbering 3,D,Kevelaer,47623
360066,Atlas,Paderborn Solutions AG,Karl-Arnold-Straße 103,D,Heinsberg,52525
360091,Atlas,Merker Zentrum GbR,Sittarder Straße 19,D,Viersen,41748
360108,Atlas,Langer Industrie Service GmbH,Adalbertsteinweg 92,DE,Aachen,52070
360109,Atlas,Kleve Park Bau GmbH,Zechenring 4,D,Hückelhoven,41836
360110,Atlas,Flur Industrie GmbH & Co. KG,Otto-Lilienthal-Straße 1,D,Alsdorf,52477
360118,Atlas,Flur Zentrum OHG,Hindenburgring 12 a,D,Bad Harzburg,38667
360120,Atlas,Ebert Logistik Bau GmbH,Hubertusstr. 27,D,Heinsberg-Kirchhoven,52525
360130,Atlas,Sohl Umwelt GbR,Mathildenstr. 35,D,Düsseldorf,40239
360183,Atlas,Paderborn Immobilien GmbH & Co. KG,Daimlerstraße 5,D,Massenbachhausen,74252
360184,Atlas,Paderborn Verwaltung Verwaltungs GmbH,Bruchstraße 1-9,D,Elkenroth,57578
360185,Atlas,Hückelhoven Capital SE,Bergsheide 12,D,Dülmen-Hiddingsel,48249
360186,Atlas,Neuer Wirtschaft Bau GmbH,Schermbecker Landstr. 22,D,Hünxe,46569
360188,Atlas,Zehm Haus Holding GmbH,Vaalser Str. 259,D,Aachen,52074
360189,Atlas,Imfeld Service AG,Graf-Zeppelin-Straße 2,,Oberhausen,46149
360190,Atlas,Neuss Recycling GmbH,,NL,,
360191,Atlas,Neuss Real Technik GmbH,Am Schaadbach 4b,,Wassenberg,41849
360192,Atlas,Rheine System GbR,Pilgerstraße 11,D,Mülheim,45473
360193,Atlas,Grund Holding OHG,Theresienstraße 19,D,Aachen,52072
360194,Atlas,Heinsberg Materials GmbH & Co. KG,Ritterstr. 20,D,Aachen,52072
360195,Atlas,Wenger Verwaltung Bau GmbH,Kleiner Schloßplatz 13-15,D,Stuttgart,70173
360196,Atlas,Jülich Holding Verwaltungs GmbH,Dackweilerhof 1,D,Titz,52445
360197,Atlas,Nordmann Consulting GbR,Mergelweg 21,D,Hövelhof,33161
360200,Atlas,Neuer Estate GbR,,,,
360201,Atlas,Linde Umwelt AG,Enschedestraße 32,D,Nordhorn,48529
360202,Atlas,Ochsner Umwelt Service GmbH,Frohnhauser Straße 391a,,Essen,45144
360203,Atlas,Geilenkirchen Werk KG,Europaallee 59,,Frechen,50226
360204,Atlas,Emden Solutions Holding GmbH,Im Gansbruch 27,D,Linnich,52441
360205,Atlas,Lemgo Estate GmbH & Co. KG,Haarenerweg 1,NL,Maria Hoop,6105 AW
360206,Atlas,Neuss Logistik GmbH & Co. KG,Schleusenstraße 20,D,Dorsten,46282
360207,Atlas,Wesel Invest GmbH & Co. KG,Aufm Tetelberg,,Düsseldorf,40221
360208,Atlas,Neuer Immobilien GmbH & Co. KG,Sebastiansplatz 9,,München,80331
360209,Atlas,Merker Recycling Holding GmbH,Deile 16,,Essen,45257
360210,Atlas,Bergmann Tech GbR,Lüttelbrachter Str. 114,D,Brüggen,41379
360211,Atlas,Bergmann Holding GmbH & Co. KG,Gut Nierhoven,,Erkelenz,41812
360212,Atlas,Dachstein Gruppe GmbH,Römerstraße 303,,Bonn,53117
360213,Atlas,Imfeld Smart AG,Westpromenade 78,D,Heinsberg,52525
360214,Atlas,Moers Invest Bau GmbH,Overfeldweg 60,D,Leverkusen,51371
360215,Atlas,Regen Estate Service GmbH,An der Eiche 6,D,Heinsberg,52525
360216,Atlas,Arnsberg Logistik Service GmbH,Von Coels-Str. 342,D,Aachen,52080
360217,Atlas,Zander Wirtschaft OHG,Monnetstraße 5,,Würselen,52146
360218,Atlas,Gerber Recycling OHG,Werinherstraße 91,D,München,81541
360219,Atlas,Hückelhoven Verwaltung OHG,Geilenkirchener Straße 29,DE,Gangelt,52538
360220,Atlas,Bergmann Bau SE,Josef-Feuser-Straße 22,,Elsdorf,50189
360221,Atlas,Iserlohn Logistik KG,Prinzengracht 2,D,Jülich,52428
360222,Atlas,Gelsen Werk SE,Vorster Straße 68,D,Viersen,41748
360223,Atlas,Eder Property OHG,Flemingstraße 18,,Fulda,36041
360224,Atlas,Nordmann Solutions GmbH,Oppelner Straße 30,DE,Mönchengladbach,41199
360225,Atlas,Xaver Zentrum OHG,Am Berg 14,D,Aachen,52076
360226,Atlas,Sohl Haus Service GmbH,Hindenburgstraße 253,D,Mönchengladbach,41061
360227,Atlas,Olfen Green Service GmbH,Krefelder Straße 425,,Mönchengladbach,41066
360228,Atlas,Castrop Real Bau GmbH,Weseler Straße 401,,Münster,48163
360229,Atlas,Junker Recycling KG,Myliusstr. 2,,Leverkusen,51371
360230,Atlas,Neuss Immobilien Holding GmbH,Wilhelmbusch 11,,Stolberg,52223
360231,Atlas,Viersen Capital GbR,Alfred-Ziegler-Straße 5,,Gelsenkirchen,45881
360232,Atlas,Hammel Real Holding GmbH,Patersgasse 9,D,Heinsberg,52525
360233,Atlas,Ilten Haus KG,Konrad-Adenauer-Platz 2,D,Leverkusen,51373
360234,Atlas,Hückelhoven Umwelt GmbH,Bahnstraße 17,,Gaildorf,74405
360235,Atlas,Ammer Park Holding GmbH,Am Gierath 20d,D,Ratingen,40885
360236,Atlas,Geilenkirchen Holding Holding GmbH,Kölner Straße 14,,Nettetal,41334
360237,Atlas,Ammer Umwelt Technik GmbH,Am DIN-Platz Burggrafenstraße 6,D,Berlin,10787
360238,Atlas,Bergmann Solutions Service GmbH,Schelsenweg 24a,,Mönchengladbach,41238
360239,Atlas,Thalberg Capital GmbH,Aphovener Straße 48,D,Heinsberg,52525
360240,Atlas,Hallberg Engineering Holding GmbH,Albert-Jansen-Str. 6,D,Geilenkirchen,52511
360241,Atlas,Nordmann Umwelt Verwaltungs GmbH,Wilhelmstraße 9,D,München,80801
360242,Atlas,Zehm Immobilien GmbH & Co. KG,Broekhuysener Straße 40,D,Straelen,47638
360243,Atlas,Emden System OHG,Kurfürstenstraße 129,D,Berlin,10785
360244,Atlas,Erkelenz Green GbR,Geilenkirchener Straße 14 - 16,D,Alsdorf,52477
360245,Atlas,Sohl Verwaltung GmbH,Friedrich-List-Allee 70,DE,Wegberg,41844
360246,Atlas,Eder Tech AG,Wallstraße 87,D,Marl,45770
360247,Atlas,Dreher Invest KG,Am Rathaus 1,D,Bedburg,50181
360248,Atlas,Zülpich Gruppe GmbH,Thornstraße 32,D,Übach-Palenberg,52531
360249,Atlas,Viersen Holding Holding GmbH,Brüsseler Allee 25,D,Erkelenz,41812
360250,Atlas,Troisdorf Immobilien Holding GmbH,Prinz-Eugen-Straße 11,D,Bietigheim-Bissingen,74321
360251,Atlas,Altenberg Tech GmbH & Co. KG,Pestalozziring 60,D,Aldenhoven,52457
360252,Atlas,Hückelhoven Logistik KG,Nordstraße 102,D,Düren,52353
360253,Atlas,Merker Tech Technik GmbH,Kurfürstenstraße 129,D,Berlin,10785
360254,Atlas,Rheine Construction Verwaltungs GmbH,Zeppelinstraße 18a,D,Geldern,47608
360255,Atlas,Vogt Partner Verwaltungs GmbH,Gewerbering 9,D,Kevelaer,47623
360256,Atlas,Langer Green OHG,Industriestraße 26,D,Heinsberg,52525
360257,Atlas,Kleve Immobilien Bau GmbH,Emdener Straße 278,D,Köln,50735
360258,Atlas,Cramer Solutions Holding GmbH,Seelbergstraße 4,D,Stuttgart,70372
360259,Atlas,Ebert Plan GbR,Luxemburger Straße 17,DE,Erkelenz,41812
360260,Atlas,Bremer Industrie Verwaltungs GmbH,Carlo-Schmid-Straße 17,D,Würselen,52146
360261,Atlas,Imfeld Immobilien SE,Neulandstraße 31,D,Freising,85354
360262,Atlas,Iserlohn Verwaltung Holding GmbH,Rimska cesta 8a,SLO,Trebnje,810
360263,Atlas,Ochsner System SE,Reutenhofstraße 58,D,Oppenweiler,71570
360264,Atlas,Merker Estate Technik GmbH,Kanalstraße 1-4,D,Tuttlingen,78532
360265,Atlas,Ebert Green Bau GmbH,Corneliastraße 77b,D,Stolberg,52223
360266,Atlas,Grund Construction SE,Feldchen 9,D,Aachen,52070
360267,Atlas,Keller Concept OHG,Sandstraße 14,D,Wassenberg,41849
360268,Atlas,Lemgo Bau GmbH,Elsumer Weg 14 a,D,Wassenberg,41849
360269,Atlas,Wegberg Invest GbR,Europaallee 1,D,Oberhausen,46047
360270,Atlas,Iserlohn Werk OHG,Im Grötchen  29,,Würselen,52146
360271,Atlas,Torf Energy GmbH,An der Feuerwache 7,D,Hückelhoven,41836
360272,Atlas,Düren Logistik OHG,Daimlerstraße 16,,Kaarst,41564
360273,Atlas,Jäger Invest GmbH & Co. KG,Königsbenden 11- 13,D,Eschweiler,52249
360274,Atlas,Zehm Zentrum Holding GmbH,Wielandstraße 36,,Düsseldorf,40211
360275,Atlas,Junker Holding AG,Am Dammsteg 59,D,Düsseldorf,40591
360276,Atlas,Jülich Property Bau GmbH,End 29,D,Heinsberg,52525
360277,Atlas,Thalberg Resources Bau GmbH,Heidend 7,,Schwalmtal,41366
360278,Atlas,Velde Park GbR,Römerstraße 19,,Krefeld,47809
360279,Atlas,Keller Green KG,Bergrather Straße 91-95,D,Eschweiler,52249
360280,Atlas,Rheine Verwaltung OHG,Industriestraße 45,D,Schwaigern,74193
360281,Atlas,Ebert Park GmbH,Kempener Straße 121,D,Heinsberg,52525
360282,Atlas,Mauer Management Service GmbH,Schützendelle 83,,Bedburg,50181
360283,Atlas,Olfen Engineering Verwaltungs GmbH,An der Fahrt 1,,Mainz,55124
360284,Atlas,Keller Facility OHG,Böggeringstr. 42-50,,Bocholt,46395
360285,Atlas,Falkenau Management OHG,Monschauer Straße 34,D,Simmerath,52152
360286,Atlas,Wegberg Bau GbR,Stadtrodaer Landstraße 1,,Zöllnitz,07751
360287,Atlas,Fröndenberg Real Holding GmbH,Stapper Weg 14,D,Mönchengladbach,41199
360288,Atlas,Junker Resources Verwaltungs GmbH,Luchtenberger Straße 58,D,Wassenberg,41849
360289,Atlas,Unna System Verwaltungs GmbH,De-Plevitz-Straße 42,DE,Selfkant,52538
360290,Atlas,Sohl Facility AG,Am Burgholz 11,D,Kreuzau,52372
360291,Atlas,Dreher Immobilien Technik GmbH,Königswinterer Straße 329,D,Bonn,53227
360292,Atlas,Ebert Industrie Service GmbH,Angelastraße 25a,,Düren,52353
360293,Atlas,Jülich Resources GbR,Leopold-Hoesch-Straße 1,,Geilenkirchen,52511
360294,Atlas,Xaver Haus Verwaltungs GmbH,Rote Erde 15,,Stolberg,52224
360295,Atlas,Kleve Partner OHG,Benzstraße 5,D,Hückelhoven,41836
360296,Atlas,Ochsner Projekt OHG,Johannes-Gutenberg-Straße 3,,Baesweiler,52499
360306,Atlas,Wald Tech Bau GmbH,Yitzhak-Rabin-Str. 100,D,Leverkusen,51371
360313,Atlas,Junker Zentrum AG,Siemensweg 50,D,Wegberg,41844
360319,Atlas,Dachstein Engineering Holding GmbH,An der Schmitten 46,DE,Bergisch Gladbach,51429
360326,Atlas,Torf Dienst SE,Robert-Bosch-Straße 2a,,Jüchen,41363
360332,Atlas,Zehm Management Holding GmbH,Humboldstraße,D,Kerpen,50171
360335,Atlas,Lemgo Bau Bau GmbH,Am Weiweg,D,Würselen,52146
360343,Atlas,Heinsberg Estate GmbH,Engelbertstraße 52,D,Essen,45139
360344,Atlas,Geilenkirchen Industrie AG,Ottostraße 1,D,Wölfersheim,61200
360346,Atlas,Olfen Bau OHG,Charlottenburger Allee 40,D,Aachen,52068
